"","gu","category","code","school_name","public","grade","value"
"1","서울특별시 송파구","강남권","S010006041","송례중학교","공립","total",134
"2","서울특별시 강남구","강남권","S010000705","대명중학교","공립","total",48
"3","서울특별시 강동구","비강남권","S010000864","명일중학교","공립","total",48
"4","서울특별시 강동구","비강남권","S010000869","배재중학교","사립","total",32
"5","서울특별시 강남구","강남권","S010000707","대청중학교","공립","total",31
"6","서울특별시 양천구","비강남권","S010000989","신서중학교","공립","total",27
"7","서울특별시 서대문구","비강남권","S010001955","이화여자대학교사범대학부속이화?금란중학교","사립","total",24
"8","서울특별시 서초구","강남권","S010000717","서초중학교","공립","total",23
"9","서울특별시 양천구","비강남권","S010000979","목일중학교","공립","total",22
"10","서울특별시 강서구","비강남권","S010000970","공항중학교","공립","total",22
"11","서울특별시 양천구","비강남권","S010000988","신목중학교","공립","total",20
"12","서울특별시 노원구","비강남권","S010001706","불암중학교","공립","total",20
"13","서울특별시 강남구","강남권","S010000698","개원중학교","공립","total",20
"14","서울특별시 강남구","강남권","S010000720","숙명여자중학교","사립","total",18
"15","서울특별시 중랑구","비강남권","S010001387","중화중학교","공립","total",16
"16","서울특별시 동작구","비강남권","S010002352","숭의여자중학교","사립","total",16
"17","서울특별시 송파구","강남권","S010005520","문현중학교","공립","total",15
"18","서울특별시 양천구","비강남권","S010000997","양정중학교","사립","total",15
"19","서울특별시 노원구","비강남권","S010001731","하계중학교","공립","total",14
"20","서울특별시 송파구","강남권","S010000889","정신여자중학교","사립","total",14
"21","서울특별시 서초구","강남권","S010000714","서문여자중학교","사립","total",14
"22","서울특별시 강남구","강남권","S010000713","봉은중학교","공립","total",14
"23","서울특별시 마포구","비강남권","S010001959","중암중학교","공립","total",13
"24","서울특별시 노원구","비강남권","S010005210","을지중학교","공립","total",13
"25","서울특별시 노원구","비강남권","S010001721","재현중학교","사립","total",13
"26","서울특별시 은평구","비강남권","S010001936","선일여자중학교","사립","total",13
"27","서울특별시 강동구","비강남권","S010000861","동북중학교","사립","total",13
"28","서울특별시 강북구","비강남권","S010005516","미양중학교","공립","total",13
"29","서울특별시 동작구","비강남권","S010001546","강현중학교","공립","total",13
