index,in,class,name,val_2018_1,val_2018_2,val_2018_3,val_2018_4,val_2019_1,val_2019_2,val_2019_3,val_2019_4
1,가습기살균제사건과4․16세월호참사특별조사위원회,부위원장,최예용,1439133,340339,19010,549391,1359133,365412,19010,549391
2,가습기살균제사건과4․16세월호참사특별조사위원회,상임위원,문호승,2597372,323176,3000,88688,2685946,328854,3000,85073
3,가습기살균제사건과4․16세월호참사특별조사위원회,상임위원,양순필,472000,108249,40450,109244,472000,115963,35190,95000
4,가습기살균제사건과4․16세월호참사특별조사위원회,상임위원,황전원,284095,32257,17300,509661,352342,24890,14070,503584
5,가습기살균제사건과4․16세월호참사특별조사위원회,위원장,장완익,2021472,1077190,3540,279997,2021472,1024694,3540,279997
6,감사원,감사위원,강민아,98578,1142542,12020,498812,98909,826226,12020,441332
7,감사원,감사위원,김상규,708000,165719,10230,258422,758000,175610,8840,260074
8,감사원,감사위원,김진국,1465969,265974,18200,0,1690090,252717,13540,0
9,감사원,감사위원,손창동,436000,147517,13070,215910,454000,144579,11250,185350
10,감사원,감사위원,이준호,3525552,490050,61600,2043666,3509749,374239,4500,1283666
11,감사원,감사위원,정길영,1170148,400086,25000,142288,1533148,356592,22000,408156
12,감사원,공직감찰본부장,최성호,1082726,90255,8220,242423,1132806,74704,7430,250318
13,감사원,사무총장,김종호,944571,283256,5160,290477,980301,288978,4690,203650
14,감사원,원장,최재형,703000,978838,12420,0,734000,1048879,10410,157449
15,감사원,제1사무차장,박찬석,925893,479959,3200,126000,2492514,376242,3000,1172992
16,감사원,제2사무차장,유희상,1787417,428922,23730,523985,1897726,407787,19910,537185
17,감사원감사교육원,원장,남궁기정,1279060,352975,13700,787813,1279060,237303,17900,757964
18,강원도,경제부지사,정만호,697466,405941,3270,25000,704680,463446,2520,25000
19,강원도,도지사,최문순,553000,747029,207547,0,588000,773179,182720,0
20,강원도강릉시,시장,김한근,576080,715944,46340,676448,596117,678015,42810,763113
21,강원도강원도립대학교,총장,송승철,340855,1089436,9570,0,356433,1201525,8730,0
22,강원도고성군,군수,이경일,2192386,725197,17664,599500,2346467,733288,17664,592000
23,강원도교육청,교육감,민병희,317214,114140,65760,22000,340661,118848,53160,22000
24,강원도동해시,시장,심규언,193388,476300,52422,0,196742,442569,29859,0
25,강원도삼척시,시장,김양호,135938,85508,12496,139040,216398,144610,25242,129067
26,강원도속초시,시장,김철수,208503,298751,26711,168669,208503,276064,16559,33433
27,강원도양구군,군수,조인묵,164656,100879,19710,309110,164656,157448,19710,346303
28,강원도양양군,군수,김진하,62751,152532,33754,15000,66140,154064,11265,0
